stock,CMSY,mPRM,COMSIR,SSCOM,ensemble_method,ensemble
"Atlantic, Northwest Atlantic rock crab",0.98,0.95,1.7,1.72,full_ensemble,1.17
"Atlantic, Northwest Atlantic salmon",0.27,0.37,0,1.46,full_ensemble,0.75
"Atlantic, Northwest Atlantic surf clam",1.12,2.28,1.47,1.1,full_ensemble,1.18
"Atlantic, Northwest Bigeye tuna",0.31,0.59,0.18,1.46,full_ensemble,0.43
"Atlantic, Northwest Blue crab",1.47,0.59,1.58,1.72,full_ensemble,0.96
"Atlantic, Northwest Blue mussel",0.54,0.37,1.53,1.61,full_ensemble,1.09
"Atlantic, Northwest Deepwater redfish",0.25,0.78,0.22,0.78,full_ensemble,0.62
"Atlantic, Northwest Great Northern tilefish",0.5,1.07,1.23,1.73,full_ensemble,0.92
"Atlantic, Northwest Greenland cod",0.3,0.37,0,1.36,full_ensemble,0.76
"Atlantic, Northwest Greenland halibut",1.09,0.69,1.48,1.15,full_ensemble,0.82
"Atlantic, Northwest Iceland scallop",0.29,0.25,0.91,0.96,full_ensemble,1.22
"Atlantic, Northwest Jonah crab",1.25,0.92,1.97,1.81,full_ensemble,1.38
"Atlantic, Northwest Longfin squid",0.45,1.48,1.12,0.97,full_ensemble,1.28
"Atlantic, Northwest Lumpsucker",1.07,1.91,1.98,1.93,full_ensemble,1.22
"Atlantic, Northwest Northern bluefin tuna",0.45,0.63,0.52,1.35,full_ensemble,0.78
"Atlantic, Northwest Northern prawn",1,1.03,1.56,1.39,full_ensemble,0.76
"Atlantic, Northwest Onion-eye grenadier",0.21,0.35,0.06,1.2,full_ensemble,1.07
"Atlantic, Northwest Piked dogfish",0.61,1.38,1.93,3.65,full_ensemble,1.27
"Atlantic, Northwest Queen crab",1.06,0.74,1.6,1.49,full_ensemble,0.77
"Atlantic, Northwest Roundnose grenadier",0.35,0.34,0.56,1.08,full_ensemble,1.15
"Atlantic, Northwest Saithe",0.33,0.38,0.14,1.39,full_ensemble,0.38
"Atlantic, Northwest Sand gaper",0.43,1.4,0.2,1.7,full_ensemble,0.81
"Atlantic, Northwest Silver hake",0.34,0.37,0.09,1.63,full_ensemble,0.72
"Atlantic, Northwest Spot croaker",0.65,0.69,0.54,1.45,full_ensemble,1.13
"Atlantic, Northwest Striped sea-bass",1.32,0.6,0.31,1.44,full_ensemble,0.81
"Atlantic, Northwest Summer flounder",0.51,0.54,1.02,1.43,full_ensemble,1.14
"Atlantic, Northwest Swordfish",0.51,0.66,1.24,1.7,full_ensemble,0.87
"Atlantic, Northwest Tusk",0.38,0.39,0.12,0.97,full_ensemble,0.77
"Atlantic, Northwest White hake",0.4,0.42,0.32,1.11,full_ensemble,0.55
"Atlantic, Northwest Winter flounder",0.37,0.42,0.18,1.5,full_ensemble,0.43
"Atlantic, Northwest Witch",0.38,0.38,0.08,1.19,full_ensemble,0.73
"Atlantic, Northwest Yellowfin tuna",0.45,0.62,1.06,1.55,full_ensemble,0.68
"Atlantic, Southeast Albacore",1.43,1.06,0.34,1.53,full_ensemble,1.04
"Atlantic, Southeast Atlantic pomfret",0.5,0.57,1.28,1.48,full_ensemble,0.9
"Atlantic, Southeast Bigeye grunt",1.05,0.63,1.97,1.16,full_ensemble,1.34
"Atlantic, Southeast Bigeye tuna",0.51,0.86,1.52,1.52,full_ensemble,0.88
"Atlantic, Southeast Bobo croaker",1.03,1.03,1.96,1.61,full_ensemble,1.17
"Atlantic, Southeast Cape Hope squid",1.12,2.75,1.54,1.54,full_ensemble,1.4
"Atlantic, Southeast Cape monk",0.47,1.25,1.09,0.83,full_ensemble,0.96
"Atlantic, Southeast Chub mackerel",0.33,0.59,0.07,1.8,full_ensemble,0.53
"Atlantic, Southeast Cunene horse mackerel",0.34,0.57,0.11,1.67,full_ensemble,0.5
"Atlantic, Southeast Deepwater rose shrimp",0.28,0.32,0.06,0.72,full_ensemble,1.11
"Atlantic, Southeast John dory",0.55,1.16,1.59,1.32,full_ensemble,0.87
"Atlantic, Southeast Kingklip",0.55,1.06,1.33,1.26,full_ensemble,1.1
"Atlantic, Southeast Large-eye dentex",0.28,0.42,0,0.86,full_ensemble,0.63
"Atlantic, Southeast Panga seabream",0.48,0.5,0.66,1.33,full_ensemble,0.7
"Atlantic, Southeast Shallow-water Cape hake",0.84,0.64,1.17,1.93,full_ensemble,1.04
"Atlantic, Southeast Silver scabbardfish",0.51,1.01,1.52,1.07,full_ensemble,1.1
"Atlantic, Southeast Skipjack tuna",0.33,0.53,0.08,1.47,full_ensemble,0.62
"Atlantic, Southeast Snoek",0.5,1.15,1.48,1.6,full_ensemble,0.98
"Atlantic, Southeast Southern bluefin tuna",0.38,0.56,0.87,1.35,full_ensemble,0.48
"Atlantic, Southeast Southern meagre",1.39,1.44,1.94,4.13,full_ensemble,0.91
"Atlantic, Southeast Striped red shrimp",0.3,0.4,0.15,0.92,full_ensemble,0.5
"Atlantic, Southeast Swordfish",1.03,1.01,1.68,1.61,full_ensemble,0.98
"Atlantic, Southeast West African geryon",0.31,0.37,0.12,0.16,full_ensemble,0.65
"Atlantic, Southeast West coast sole",0.57,0.77,0.99,1.74,full_ensemble,1.11
"Atlantic, Southeast Whiteheads round herring",1.5,0.93,1.46,1.54,full_ensemble,0.56
"Atlantic, Southeast Yellowfin tuna",0.63,0.86,1.07,1.6,full_ensemble,1
"Atlantic, Southeast Zebra seabream",0.34,0.48,0.77,1.05,full_ensemble,1.13
"Atlantic, Southwest Albacore",0.37,0.7,0.35,1.16,full_ensemble,0.63
"Atlantic, Southwest Argentine anchoita",1.04,1.12,1.67,1.42,full_ensemble,0.86
"Atlantic, Southwest Argentine angelshark",0.87,1.64,1.69,1.7,full_ensemble,1.02
"Atlantic, Southwest Argentine croaker",1.14,1.06,1.96,1.59,full_ensemble,1.21
"Atlantic, Southwest Argentine shortfin squid",0.53,2.28,0.5,0.99,full_ensemble,1.22
"Atlantic, Southwest Atlantic bonito",0.36,0.59,0.05,1.78,full_ensemble,0.72
"Atlantic, Southwest Atlantic seabob",1.28,1.05,1.32,1.13,full_ensemble,1.15
"Atlantic, Southwest Bastard halibut",1.13,0.87,1.43,1.53,full_ensemble,1.11
"Atlantic, Southwest Bigeye tuna",1.18,1.02,1.02,1.42,full_ensemble,1.26
"Atlantic, Southwest Black drum",0.38,0.51,0.2,1.79,full_ensemble,0.4
"Atlantic, Southwest Blackbelly rosefish",0.39,1.14,1.89,2.59,full_ensemble,1.14
"Atlantic, Southwest Blue shark",1.2,2.19,0.66,3.51,full_ensemble,1.61
"Atlantic, Southwest Brazilian codling",1.11,0.78,1.57,1.57,full_ensemble,0.92
"Atlantic, Southwest Brazilian flathead",1.1,1.05,1.94,1.6,full_ensemble,1.19
"Atlantic, Southwest Caribbean spiny lobster",1.21,0.64,1.5,1.4,full_ensemble,0.84
"Atlantic, Southwest Chub mackerel",0.68,0.75,0.83,1.83,full_ensemble,1.14
"Atlantic, Southwest Common dolphinfish",0.95,1.17,1.82,1.7,full_ensemble,1.11
"Atlantic, Southwest Common seabream",1.43,0.75,1.01,1.72,full_ensemble,1.18
"Atlantic, Southwest Dana's swimming crab",0.47,0.44,0.43,1.69,full_ensemble,0.78
"Atlantic, Southwest King mackerel",1.53,1.02,1.46,1.88,full_ensemble,0.16
"Atlantic, Southwest King weakfish",1.3,1.2,1.97,1.73,full_ensemble,1.05
"Atlantic, Southwest Largehead hairtail",1.22,2.1,1.65,1.72,full_ensemble,1.36
"Atlantic, Southwest Narrownose smooth-hound",0.89,1.64,1.5,1.29,full_ensemble,1.06
"Atlantic, Southwest Parona leatherjacket",0.5,0.86,1.29,1.27,full_ensemble,0.87
